comment_id,text
Ugz0tJAXnVM0hDg9yS14AaABAg.9ECFQQpUFFG9Gw8_n0601C,Tell the creator to change his settings. You have the choice of skippable and not skippable ads. He wants that money baby :)
Ugz0tJAXnVM0hDg9yS14AaABAg.9ECFQQpUFFG9Gyh-QHaD0l,They are just trying to push us to pay but I REFUSE to pay for anything on YouTube.
Ugz0tJAXnVM0hDg9yS14AaABAg.9ECFQQpUFFG9H-bv0GIBeL,Just refresh the page and the ads will disappear ;)
Ugz0tJAXnVM0hDg9yS14AaABAg.9ECFQQpUFFG9H079bgEhQD,and ion like it at all
Ugz0tJAXnVM0hDg9yS14AaABAg.9ECFQQpUFFG9HGO--l0tcM,Ikr bro
Ugz0tJAXnVM0hDg9yS14AaABAg.9ECFQQpUFFG9HOD8Yazrdk,Im using YouTube vanced. Its ad free
Ugz0tJAXnVM0hDg9yS14AaABAg.9ECFQQpUFFG9HPypUjq-mW,Lmao word
Ugz0tJAXnVM0hDg9yS14AaABAg.9ECFQQpUFFG9Hbqf-ozvkc,I swear it's killing me
Ugz0tJAXnVM0hDg9yS14AaABAg.9ECFQQpUFFG9Hm70I2q0ir,@Ludvig B.L. pretty much  i bet shes going to come back in a year and say she didnt copy this
Ugz0tJAXnVM0hDg9yS14AaABAg.9ECFQQpUFFG9J4GHHx-Y8-,"There are videos how not to get any youtube ads.
I don't have any. It's simple. look it up."
Ugz0tJAXnVM0hDg9yS14AaABAg.9ECFQQpUFFG9JRzrDvIydM,Ikr
Ugz0tJAXnVM0hDg9yS14AaABAg.9ECFQQpUFFG9K2SZOJJq81,Yuh
Ugz0tJAXnVM0hDg9yS14AaABAg.9ECFQQpUFFG9O3y1DwFJSX,Adblock
Ugz0tJAXnVM0hDg9yS14AaABAg.9ECFQQpUFFG9O9AH6ahS_F,Fr
Ugz0tJAXnVM0hDg9yS14AaABAg.9ECFQQpUFFG9Ttv6PDfyOa,Fr
Ugz0tJAXnVM0hDg9yS14AaABAg.9ECFQQpUFFG9EraRrxTBi1,Just get YouTube premium
Ugz0tJAXnVM0hDg9yS14AaABAg.9ECFQQpUFFG9F4FdYSNrvn, @d.b.2917  agreed
Ugz0tJAXnVM0hDg9yS14AaABAg.9ECFQQpUFFG9HrrrbQvJGZ,TOO comfortable
Ugz0tJAXnVM0hDg9yS14AaABAg.9ECFQQpUFFG9EtBwvdVFas,Premium
Ugz0tJAXnVM0hDg9yS14AaABAg.9ECFQQpUFFG9EcD19hU59d,Ok bot
UgxkQjDjBr46aUowEwp4AaABAg.9AHW_-UddHt9AHfcxuGKDT,I get that exact same feeling 🤣
UgxkQjDjBr46aUowEwp4AaABAg.9AHW_-UddHt9AHlo7-QB18, @el_maldo  get out get out not funny
UgxkQjDjBr46aUowEwp4AaABAg.9AHW_-UddHt9AHg7NxLL6o,"Lol, I was kinda expecting that too"
UgxkQjDjBr46aUowEwp4AaABAg.9AHW_-UddHt9AHloQbLpj2, @Mrechospartan  gtfo
UgxkQjDjBr46aUowEwp4AaABAg.9AHW_-UddHt9AHmEs2dpy1,"Yes, I've been using this since months in android 10."
UgxkQjDjBr46aUowEwp4AaABAg.9AHW_-UddHt9AHmGE_YXIF,i was kinda expecting that too.....
UgyLGmDziQPAAr346714AaABAg.9AGqrsGx3iq9AGufRxROVr,Software engineer here. They gave it to us about a day or two ago.
UgyLGmDziQPAAr346714AaABAg.9AGqrsGx3iq9AGv6jyiIq5, @ChildrenOfTheRune  MKBHD subscriber here. it's a running joke in case you didn't catch it.
UgyLGmDziQPAAr346714AaABAg.9AGqrsGx3iq9AGu7ymrcW4,He’s losing his touch
UgyLGmDziQPAAr346714AaABAg.9AGqrsGx3iq9AGw8kgYL3Z,The disappointment is real
UgwcfCnIBD1y2aR-Iat4AaABAg.9AH6M7ppJuv9BE526nZh5U,Yes please
UgwcfCnIBD1y2aR-Iat4AaABAg.9AH6M7ppJuv9BFpGJGTiUQ,Yesss
UgzQB5WpGg1N4yUCHeZ4AaABAg.9DsoFMcgQUm9DvYZyLqkyp,I meaaaaaaan it is new to the BRAND 😬
UgzQB5WpGg1N4yUCHeZ4AaABAg.9DsoFMcgQUm9DwJN9L7BqA, @omgIoIwtf  yes.. That's the joke buddy
UgzQB5WpGg1N4yUCHeZ4AaABAg.9DsoFMcgQUm9DvbKZ-KLiY,Yeah it is pretty funny tbh. But good on apple for finally giving iPhone users these features.
UgzQB5WpGg1N4yUCHeZ4AaABAg.9DsoFMcgQUm9E-DvzjLstE,iOS Jailbreak users: I saw this 8 years ago
UgzQB5WpGg1N4yUCHeZ4AaABAg.9DsoFMcgQUm9F1Slh4be7t," @WhtSqurl  haha, but jilbreaks. Haha hihi hoho."
UgzQB5WpGg1N4yUCHeZ4AaABAg.9DsoFMcgQUm9E1CXrsnnXR,Was that meant to be a Back to the Future reference or am I showing how much of a boomer I am?
UgzQB5WpGg1N4yUCHeZ4AaABAg.9DsoFMcgQUm9E2-Dmp7KPt,『Alt-F4』 i also caught the back to the future reference and im a zoomer lol
UgzQB5WpGg1N4yUCHeZ4AaABAg.9DsoFMcgQUm9EDUiDW9g9v,"But... They improved it. Now it's time for Google to copy iOS on these little Widgets and PIP features (group widgets and better PIP experience). Or just make these features better! 

That's the beauty of competition (and copying)."
UgzQB5WpGg1N4yUCHeZ4AaABAg.9DsoFMcgQUm9EExWLsmAvq," @borealfox  apple copy androids we are always futuristic. More features and also new ideas. Plus you should know the new apple screens copy Android because they buy their screens from Galaxy. You should know Samsung has the best oled displays in the market. Also, androids going to invent more features and new ideas."
UgzQB5WpGg1N4yUCHeZ4AaABAg.9DsoFMcgQUm9EuvVpQE86k,Is there still no universal back button/swipe? That has me baffled since years.... I use that 10 times every minute. I have Android 10 and use one button mode. Back is a swipe to the middle from the left edge or right edge. Works great.
UgzQB5WpGg1N4yUCHeZ4AaABAg.9DsoFMcgQUm9DzakLISXSu,Actually a lot of this looks like iOS 7 jailbreak tweaks or some are even iOS 5 jailbreak tweaks
UgzQB5WpGg1N4yUCHeZ4AaABAg.9DsoFMcgQUm9DzoZXq-fw4, @Phouanesavath2  those tweaks are inspired from old android features. But its cool they finally fcking add those
UgzQB5WpGg1N4yUCHeZ4AaABAg.9DsoFMcgQUm9DzoMOC1Qhk, @Phouanesavath2  well yes but actually No..
UgzQB5WpGg1N4yUCHeZ4AaABAg.9DsoFMcgQUm9I6j0tDsSSc,Windows users after seeing ios widgets: were we a joke to you?
UgzQB5WpGg1N4yUCHeZ4AaABAg.9DsoFMcgQUm9I8q-SPzrpU, @13ballom  True True
UgzQB5WpGg1N4yUCHeZ4AaABAg.9DsoFMcgQUm9ELHmNPWXS1,Android users: It already does that😂
UgzQB5WpGg1N4yUCHeZ4AaABAg.9DsoFMcgQUm9ElMe0lGiee,IKR lol
UgzQB5WpGg1N4yUCHeZ4AaABAg.9DsoFMcgQUm9FvHW2Xs_xW,Are you John f kennedy's brother?
UgzQB5WpGg1N4yUCHeZ4AaABAg.9DsoFMcgQUm9F1S_dibUN9,"You forget, 
Android users: wait I’ve seen this a long, looong time before. 
Ios users: wi wait for apple make this shit as long looong time is need"
UgzQB5WpGg1N4yUCHeZ4AaABAg.9DsoFMcgQUm9F2gAVN4LCZ," @smarthome2502  seeing your toxicity, replying to 3 separate comments, really makes me feel sorry for you."
UgzQB5WpGg1N4yUCHeZ4AaABAg.9DsoFMcgQUm9FMBvi2_iEU,Accurate
UgzQB5WpGg1N4yUCHeZ4AaABAg.9DsoFMcgQUm9HhYXIqpJsf,Well but the widgets at android work really different. and also are kind of uglier
UgzQB5WpGg1N4yUCHeZ4AaABAg.9DsoFMcgQUm9E0d2ZimHYk,wait android users get software updates for 6 years?
UgzQB5WpGg1N4yUCHeZ4AaABAg.9DsoFMcgQUm9F1T-KuFA15," @saisushanth1221  can you upgrade iphone 5 s to ios 13??? Can’t !!!
Everthing its clear.   Hahaha"
UgzQB5WpGg1N4yUCHeZ4AaABAg.9DsoFMcgQUm9E4w9GIbITd,Do not care ever what Android has. Period.
UgzQB5WpGg1N4yUCHeZ4AaABAg.9DsoFMcgQUm9E6J4en4Kfp," @kevina4140  sounds like an old person who cannot accept any change nor new things in life, it's just too confusing. Old well known routines are the only way you can live now."
UgxarxOCgGUFy6WbkY94AaABAg.9AHQdmQoowZ9AHXV-RLSCs,exactly lmaooo
UgxarxOCgGUFy6WbkY94AaABAg.9AHQdmQoowZ9AH_5BQoLF1,You could already do that by just pressing the snooze button
UgxarxOCgGUFy6WbkY94AaABAg.9AHQdmQoowZ9AHVZP15nKN,I feel exposed 😂😅🙈
UgxarxOCgGUFy6WbkY94AaABAg.9AHQdmQoowZ9AHYgkQffnA,many people do that haha😂
UgxarxOCgGUFy6WbkY94AaABAg.9AHQdmQoowZ9AHZTFcKyQt,I use the message “I recall you late” and never recall them
UgxarxOCgGUFy6WbkY94AaABAg.9AHQdmQoowZ9AHdmbI5Gp2,Savage😂
